"rep","arm","global_strength_est","total_coupling_est","abs_strength_true_edges","spurious_abs_coupling","mae_all","mae_true_nonzero","mae_true_zero","n_phantom_edges_gt_01"
27,"adjusted",4.88433999590317,2.9809156890597,3.2870921538836,1.59724784201957,0.0601894080686415,0.0569570848451522,0.0614326093084451,4
28,"baseline",4.83383576735046,2.43720778140418,3.16394722011184,1.66988854723862,0.058787222229947,0.0446451453039471,0.0642264825861008,7
28,"naive",5.59902643995642,4.95533109635433,3.58576992085203,2.01325651910439,0.0712763632311879,0.0552692557218371,0.0774329430424767,8
28,"adjusted",4.20285392571347,2.52916317342915,2.85145925998205,1.35139466573141,0.0486355794305791,0.0399486193769434,0.0519767179127466,2
29,"baseline",4.29884433941094,2.24551458639727,2.9917735111495,1.30707082826144,0.0432877003244635,0.0251286383419246,0.0502719549331323,3
29,"naive",5.61804643258378,5.39409342674178,3.55687039253093,2.06117604005285,0.0733565178194185,0.0579658601446222,0.079276001540494,6
29,"adjusted",3.91067635917829,3.10362339243641,2.85429907063062,1.05637728854767,0.0422295060832207,0.0463884930448271,0.0406298957133721,2
30,"baseline",4.35663586831441,2.72273316182902,3.04195180156774,1.31468406674667,0.0463311012956711,0.0353235579897486,0.050564771797949,5
30,"naive",5.51027485689958,5.35001222072,3.69053214937429,1.81974270752529,0.0683409682472105,0.0640532149374293,0.0699901041355879,8
30,"adjusted",4.08393795807613,2.78497630101012,2.92948471414156,1.15445324393458,0.0393214261432113,0.0261118097221029,0.0444020478436376,2
